year,sport,country,countrycode,numeric,number_of_athletes,Bronze_medal_count,Silver_medal_count,Gold_medal_count,medal_count
1948,Boxing,Egypt,EGY,818,5,0,0,0,0
1948,Boxing,Spain,ESP,724,8,0,0,0,0
1948,Boxing,Finland,FIN,246,6,0,0,0,0
1948,Boxing,France,FRA,250,8,0,0,0,0
1948,Boxing,United Kingdom,GBR,826,8,0,2,0,2
1948,Boxing,Hungary,HUN,348,6,0,0,2,2
1948,Boxing,India,IND,356,7,0,0,0,0
1948,Boxing,Ireland,IRL,372,8,0,0,0,0
1948,Boxing,Iran,IRN,364,8,0,0,0,0
1948,Boxing,Italy,ITA,380,8,2,2,1,5
1948,Boxing,Jamaica,JAM,388,1,0,0,0,0
1948,Boxing,South Korea,KOR,410,3,1,0,0,1
1948,Boxing,Lebanon,LBN,422,1,0,0,0,0
1948,Boxing,Sri Lanka,LKA,144,4,0,0,0,0
1948,Boxing,Luxembourg,LUX,442,4,0,0,0,0
1948,Boxing,Mexico,MEX,484,1,0,0,0,0
1948,Boxing,Myanmar,MMR,104,2,0,0,0,0
1948,Boxing,Netherlands,NLD,528,6,0,0,0,0
1948,Boxing,Norway,NOR,578,4,0,0,0,0
1948,Boxing,New Zealand,NZL,554,1,0,0,0,0
1948,Boxing,Pakistan,PAK,586,3,0,0,0,0
1948,Boxing,Peru,PER,604,3,0,0,0,0
1948,Boxing,Philippines,PHL,608,5,0,0,0,0
1948,Boxing,Poland,POL,616,6,1,0,0,1
1948,Boxing,Puerto Rico,PRI,630,3,1,0,0,1
1948,Boxing,Sweden,SWE,752,4,0,1,0,1
1948,Boxing,Uruguay,URY,858,8,0,0,0,0
1948,Boxing,United States,USA,840,8,0,1,0,1
1948,Boxing,South Africa,ZAF,710,8,1,1,2,4
1948,Canoeing,Austria,AUT,040,11,1,0,0,1
1948,Canoeing,Belgium,BEL,056,9,0,0,0,0
1948,Canoeing,Canada,CAN,124,10,1,1,0,2
1948,Canoeing,Switzerland,CHE,756,6,0,0,0,0
1948,Canoeing,Denmark,DNK,208,7,0,3,1,4
1948,Canoeing,Finland,FIN,246,7,4,1,0,5
1948,Canoeing,France,FRA,250,13,6,0,0,6
1948,Canoeing,United Kingdom,GBR,826,7,0,0,0,0
1948,Canoeing,Hungary,HUN,348,6,0,0,0,0
1948,Canoeing,Luxembourg,LUX,442,6,0,0,0,0
1948,Canoeing,Netherlands,NLD,528,7,0,1,0,1
1948,Canoeing,Norway,NOR,578,6,1,2,0,3
1948,Canoeing,Poland,POL,616,6,0,0,0,0
1948,Canoeing,Sweden,SWE,752,13,0,0,6,6
1948,Canoeing,United States,USA,840,12,0,3,2,5
1948,Cycling,Argentina,ARG,032,16,0,0,0,0
1948,Cycling,Australia,AUS,036,14,0,0,0,0
1948,Cycling,Austria,AUT,040,16,0,0,0,0
1948,Cycling,Belgium,BEL,056,16,1,1,4,6
1948,Cycling,Canada,CAN,124,14,0,0,0,0
1948,Cycling,Switzerland,CHE,756,16,0,0,0,0
1948,Cycling,Chile,CHL,152,9,0,0,0,0
1948,Cycling,China,CHN,156,1,0,0,0,0
1948,Cycling,Cuba,CUB,192,2,0,0,0,0
1948,Cycling,Denmark,DNK,208,16,1,0,0,1
1948,Cycling,Finland,FIN,246,11,0,0,0,0
1948,Cycling,France,FRA,250,16,6,0,6,12
1948,Cycling,United Kingdom,GBR,826,16,5,7,0,12
1948,Cycling,Greece,GRC,300,7,0,0,0,0
1948,Cycling,Guyana,GUY,328,3,0,0,0,0
1948,Cycling,India,IND,356,14,0,0,0,0
1948,Cycling,Italy,ITA,380,16,0,4,3,7
1948,Cycling,South Korea,KOR,410,2,0,0,0,0
1948,Cycling,Luxembourg,LUX,442,8,0,0,0,0
1948,Cycling,Mexico,MEX,484,10,0,0,0,0
1948,Cycling,Netherlands,NLD,528,16,0,1,0,1
1948,Cycling,Norway,NOR,578,8,0,0,0,0
1948,Cycling,New Zealand,NZL,554,1,0,0,0,0
1948,Cycling,Pakistan,PAK,586,3,0,0,0,0
1948,Cycling,Peru,PER,604,6,0,0,0,0
1948,Cycling,Sweden,SWE,752,8,0,0,0,0
1948,Cycling,Trinidad and Tobago,TTO,780,2,0,0,0,0
1948,Cycling,Turkey,TUR,792,8,0,0,0,0
1948,Cycling,Uruguay,URY,858,14,0,0,0,0
1948,Cycling,United States,USA,840,15,0,0,0,0
